title,image_url,amazon url,release date,developer,publisher,platforms,genres,rating,description
League of Legends ,https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-285x380.jpg,https://www.amazon.com/League-Legends-25-Gift-Card/dp/B0153XBEBM/ref=sr_1_1?ie=UTF8&qid=1516866691&sr=8-1&keywords=League+of+Legends,Oct 27@ 2009,Riot Games,Riot Games,PC,Role-Playing Strategy Action-RPG Real-Time MOBA MOBA,T,Join forces with your closest allies as you unite to defeat your foes in deadly multiplayer battle arenas. League of Legends combines elements from both strategy and role playing games to bring you a unique and dynamic player experience. As a Summoner@ you will have your own distinct@ customizable avatar that grows in power as you move through the game. In each battle you will select and call forth one of dozens of Champions to control and engage in head-to-head combat against teams of highly trained warriors. Choose your allies wisely@ for the stakes are high. In the League@ every battle means more than life or death as the balance of power shifts with each victory or defeat. [Riot Games]
Overwatch ,https://static-cdn.jtvnw.net/ttv-boxart/Overwatch-285x380.jpg,https://www.amazon.com/Overwatch-Game-Year-PlayStation-4/dp/B0733HQQQP/,May 23@ 2016,Blizzard Entertainment,Blizzard Entertainment,PC PlayStation 4 Xbox One,General-Action-Shooter First-Person Tactical,T,Overwatch is a highly stylized team-based shooter set on earth in the near future. Every match is an intense multiplayer showdown pitting a diverse cast of soldiers@ mercenaries@ scientists@ adventurers@ and oddities against each other in an epic@ globe-spanning conflict.
Fortnite ,https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-285x380.jpg,https://www.amazon.com/Fortnite-PlayStation-4/dp/B071WNVX56/ref=sr_1_1?ie=UTF8&qid=1516866719&sr=8-1&keywords=Fortnite,Jul 21@ 2017,Epic Games,Epic Games,Xbox 360 PC PlayStation 3 PlayStation 4 Xbox One,"Action,eShooter,eThird-Person,Tactical",T,"The Storm came without warning and wiped out 98 percent of the world's population in a flash. Poof. Adios. Sayonara. Then came the monsters, wave after wave, night after night. Destroying everything in their path. But it's not all doom and gloom. In an abandoned missile silo, we've found one of our first weapons against the Storm you. We're looking for a few good commanders like you to help make a difference, push back the storm and protect those among us who are unable to protect themselves. Explore the world. Rescue survivors. Make hundreds of guns, swords, and things that go boom. Make impregnable forts. Tastefully decorate with sniper perches, poison gas traps, and jump pads. Take back the world. You know, the usual. And be sure to invite your friends. Welcome to Fortnite."
Hearthstone ,https://static-cdn.jtvnw.net/ttv-boxart/Hearthstone-285x380.jpg,https://www.amazon.com/Battle-net-Store-Gift-Card-Balance/dp/B012JMS4W2/ref=sr_1_1?ie=UTF8&qid=1516866750&sr=8-1&keywords=Hearthstone,Apr 16@ 2014,Blizzard Entertainment,Blizzard Entertainment,iOS PC,Strategy-Miscellaneous Turn-Based Card Battle,T,Hearthstone is a free-to-play digital strategy card game where you can choose one of nine epic Warcraft heroes to play as.
Counter-Strike: Global Offensive ,https://static-cdn.jtvnw.net/ttv-boxart/Counter-Strike:%20Global%20Offensive-285x380.jpg,https://www.amazon.com/Counter-strike-Global-Offensive-Pc-Game-MAC/dp/B009FZZUPQ/ref=sr_1_1?ie=UTF8&qid=1516866768&sr=8-1&keywords=Counter-Strike%3A+Global+Offensive,Aug 21@ 2012,Valve Software,Valve Software,PC PlayStation 3 Xbox 360,Action-Shooter Shooter First-Person Modern Tactical Modern,M,Counter-Strike: Global Offensive features new maps@ characters@ and weapons and delivers updated versions of the classic CS content.
Dead by Daylight ,https://static-cdn.jtvnw.net/ttv-boxart/Dead%20by%20Daylight-285x380.jpg,https://www.amazon.com/Dead-Daylight-PlayStation-4/dp/B06WVKKHJM/ref=sr_1_1?ie=UTF8&qid=1516866783&sr=8-1&keywords=Dead+by+Daylight,Jun 20@ 2017,505 Games,505 Games,PlayStation 4 PC Xbox One,Action-Adventure Survival,M,Dead by Daylight is a multiplayer (4vs1) horror game where one player takes on the role of the savage Killer@ and the other four players play as Survivors@ trying to escape the Killer and avoid being caught@ tortured and killed. Survivors play in third-person and have the advantage of better situational awareness. The Killer plays in first-person and is more focused on their prey. The Survivors' goal in each encounter is to escape the Killing Ground without getting caught by the Killer - something that sounds easier than it is@ especially when the environment changes every time you play.
Monster Hunter World ,https://static-cdn.jtvnw.net/ttv-boxart/Monster%20Hunter%20World-285x380.jpg,https://www.amazon.com/Monster-Hunter-World-PlayStation-4-Standard/dp/B071G5HZ7F/ref=sr_1_1?s=videogames&ie=UTF8&qid=1516866800&sr=1-1&keywords=Monster+Hunter+World,Jan 26@ 2018,Capcom,Capcom,PlayStation 4 Xbox One,Role-Playing Action-RPG,T,In Monster Hunter: World you assume the role of a hunter venturing to a new continent where you track down and slay ferocious beasts in heart-pounding battles. This new land and its diverse inhabitants play a critical role in each quest as you strategically use the surrounding environment including terrain@ vegetation and wildlife to your advantage in battle or become hindered by the hazards they present. As a hunter@ you must use your cunning and expertise to track and maneuver your targets throughout the intense@ evolving battles. [Capcom]
World of Warcraft ,https://static-cdn.jtvnw.net/ttv-boxart/World%20of%20Warcraft-285x380.jpg,https://www.amazon.com/World-Warcraft-Game-Time-Digital/dp/B012JIOKM4/ref=sr_1_2?ie=UTF8&qid=1516866814&sr=8-2&keywords=World+of+Warcraft,Aug 30@ 2016,Blizzard Entertainment,Blizzard Entertainment,PC,Role-Playing Massively-Multiplayer,T,"The Tomb of Sargeras has been reopened, and the demons of the Burning Legion pour into our world. Their full, terrifying might is fixed on summoning the Dark Titan to Azeroth@and they've already located the key to his return. With the Alliance and Horde devastated, only you can take up Warcraft's most legendary artifacts, scour the ancient Broken Isles for relics of the Titans, and challenge the Legion before Azeroth's last hope dies. Steel yourself, champion. Extinction is imminent."
Grand Theft Auto V ,https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-285x380.jpg,https://www.amazon.com/Grand-Theft-Auto-V-PlayStation-4/dp/B00KVSQ848/ref=sr_1_1?ie=UTF8&qid=1516866841&sr=8-1&keywords=Grand+Theft+Auto+V,Apr 14@ 2015,Rockstar North,Rockstar Games,PC PlayStation 3 PlayStation 4 Xbox 360 Xbox One,Modern Action-Adventure Open-World,M,Los Santos: a sprawling sun-soaked metropolis full of self-help gurus@ starlets and fading celebrities@ once the envy of the Western world@ now struggling to stay alive in a time of economic uncertainty and cheap reality TV. Amidst the turmoil@ three very unique criminals plot their own chances of survival and success: Franklin@ a street hustler looking for tangible opportunities and serious money; Michael@ a professional ex-con whose retirement is less rosy than he figured it would be; and Trevor@ a violent dude driven by the opportunity for a cheap high and his next big score. With options at a premium@ the crew risks it all in a myriad of daring and dangerous heists that could set them up for life.
Tom Clancy's Rainbow Six: Siege ,https://static-cdn.jtvnw.net/ttv-boxart/Tom%20Clancy%27s%20Rainbow%20Six:%20Siege-285x380.jpg,https://www.amazon.com/Tom-Clancys-Rainbow-Six-Siege-PlayStation/dp/B00KVHSOX2/ref=sr_1_1?ie=UTF8&qid=1516866855&sr=8-1&keywords=Tom+Clancy%27s+Rainbow+Six%3A+Siege,Dec 1@ 2015,Ubisoft Montreal,Ubisoft,PlayStation 4 PC Xbox One,Modern Action-Shooter First-Person Tactical,M,Tom Clancy's Rainbow Six Siege is inspired by real world counter-terrorist organizations@ and inserts players in the middle of lethal close-quarters engagements. For the first time in a Tom Clancy's Rainbow Six game@ players can choose from a variety of unique Counter Terrorist Operators and engage in tangible sieges@ a new style of assault in which enemies have the means to transform their environments into modern strongholds while Rainbow Six teams lead the assault to breach the enemy's position.
Call of Duty: WWII ,https://static-cdn.jtvnw.net/ttv-boxart/Call%20of%20Duty:%20WWII-285x380.jpg,https://www.amazon.com/Call-Duty-WWII-Resistance-Digital/dp/B0792H8LQS/ref=sr_1_1_sspa?ie=UTF8&qid=1516866877&sr=8-1-spons&keywords=Call+of+Duty%3A+WWII&psc=1,Nov 3@ 2017,Sledgehammer Games,Activision,PlayStation 4 PC Xbox One,Action-Shooter First-Person Arcade,M,Call of Duty returns to its roots with Call of Duty: WWII - a breathtaking experience that redefines World War II for a new gaming generation. Land in Normandy on D-Day and battle across Europe through iconic locations in historys most monumental war. Experience classic Call of Duty combat@ the bonds of camaraderie@ and the unforgiving nature of war against a global power throwing the world into tyranny.
Street Fighter V ,https://static-cdn.jtvnw.net/ttv-boxart/Street%20Fighter%20V-285x380.jpg,https://www.amazon.com/Street-Fighter-Arcade-PlayStation-Standard-4/dp/B0765LLC19/ref=sr_1_1_sspa?s=videogames&ie=UTF8&qid=1516866903&sr=1-1-spons&keywords=Street+Fighter+V&psc=1,Jan 16@ 2018,Capcom,Capcom,PlayStation 4 PC,Action Fighting 2D,T,Street Fighter V: Arcade Edition is a brand-new disc that includes all base content from the original Street Fighter V release@ Arcade Mode and a code for Character Pass 1 and 2 content@ which includes 12 playable characters and 12 premium costumes.
PLAYERUNKNOWN'S BATTLEGROUNDS ,https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-285x380.jpg,https://www.amazon.com/PLAYERUNKNOWNS-BATTLEGROUNDS-Game-Preview-Xbox-One/dp/B07713ZVQ4/ref=sr_1_1?s=videogames&ie=UTF8&qid=1516866935&sr=1-1&keywords=PLAYERUNKNOWN%27S+BATTLEGROUNDS,Dec 20@ 2017,Bluehole, PUBG Corporation,PC Xbox One,"Action, Shooter, First-Person, Tactical, Battle Royale",T,PLAYERUNKNOWN'S BATTLEGROUNDS is a last-man-standing shooter being developed with community feedback. Players must fight to locate weapons and supplies in a massive 8x8 km island to be the lone survivor. This is BATTLE ROYALE.
Heroes of the Storm ,https://static-cdn.jtvnw.net/ttv-boxart/Heroes%20of%20the%20Storm-285x380.jpg,https://www.amazon.com/Heroes-Storm-PC-Mac/dp/B00X0GLXQG/ref=sr_1_1?ie=UTF8&qid=1516866950&sr=8-1&keywords=Heroes+of+the+Storm,Jun 2@ 2015,Blizzard Entertainment,Blizzard Entertainment,PC,Action Strategy Real-Time General MOBA,T,This free-to-play online team brawler assembles a diverse cast of characters from Blizzard's far-flung realms of science fiction and fantasy@ including the Warcraft@ StarCraft@ and Diablo universes@ and challenges them to compete in epic@ adrenaline-charged battles. Heroes of the Storm solicits players to customize heroes to suit their style and then team up with friends for some all-out mayhem. The game features an array of gameplay modes for players of every skill level@ including Cooperative@ in which players team up against computer-controlled opponents@ and Quick Match@ an accessible way to jump in and play versus others. Experienced players can also join forces against other teams of players in highly competitive@ draft-style ranked play. [Blizzard]
FIFA 18 ,https://static-cdn.jtvnw.net/ttv-boxart/FIFA%2018-285x380.jpg,https://www.amazon.com/FIFA-18-Standard-Xbox-One/dp/B072JV7HG5/ref=sr_1_1?s=videogames&ie=UTF8&qid=1516866965&sr=1-1&keywords=FIFA+18,Sep 26@ 2017,EA Vancouver,Electronic Arts,PlayStation 4 PC PlayStation 3 Switch Xbox 360 Xbox One,Sports Team Soccer Sim,E,Score incredible goals in FIFA 18 as new movement and finishing animations unlock more fluid striking and heading of the ball. All-new crossing controls bring greater options to how you send it into the box. Whipped to the spot@ arching deliveries@ and pinged crosses to the back-stick will shake up your attacks in the final third. The biggest step in gameplay@ FIFA 18 introduces Real Player Motion Technology@ an all-new animation system that unlocks the next level of responsiveness and player personality. Now Cristiano Ronaldo and other top players feel and move exactly like they do on the real pitch. From tiki-taka to high press@ new Team Styles put the most recognised tactics of the world's best clubs on the pitch in FIFA 18. Enjoy more time and space to read the play through New Player Positioning@ while improved tactics give players greater options on the ball as teammates exploit space and make new attacking runs. [Electronic Arts]
RuneScape ,https://static-cdn.jtvnw.net/ttv-boxart/RuneScape-285x380.jpg,https://www.amazon.com/90-Day-Membership-RuneScape-Instant/dp/B008BKF2FO/ref=sr_1_1?ie=UTF8&qid=1516866981&sr=8-1&keywords=RuneScape,Jul 22@ 2013,Jagex Ltd.,Jagex Ltd.,PC,Adventure General General,E,RuneScape 3 is a free-to-play adventure game.
StarCraft II ,https://static-cdn.jtvnw.net/ttv-boxart/StarCraft%20II-285x380.jpg,https://www.amazon.com/Starcraft-II-Battle-Chest-PC-Mac/dp/B00PV2S6EE/ref=sr_1_1?ie=UTF8&qid=1516867013&sr=8-1&keywords=StarCraft+II,Jul 27@ 2010,Blizzard Entertainment,Blizzard Entertainment,PC,Strategy Real-Time Sci-Fi Command,T,StarCraft II continues the epic saga of the Protoss@ Terran@ and Zerg. These three distinct and powerful races clash once again in the fast-paced real-time strategy sequel to the legendary original@ StarCraft. Legions of veteran@ upgraded@ and brand-new unit types do battle across the galaxy@ as each faction struggles for survival. Featuring a unique single-player campaign that picks up where StarCraft: Brood War left off@ StarCraft II presents a cast of new heroes and familiar faces in an edgy sci-fi story filled with adventure and intrigue. In addition@ Blizzard again offers unparalleled online play through Battle.net@ the company's world-renowned gaming service@ with several enhancements and new features to make StarCraft II the ultimate competitive real-time strategy game. Features fast-paced@ hard-hitting@ tightly balanced competitive real-time strategy gameplay that recaptures and improves on the magic of the original game. [Blizzard]
Path of Exile ,https://static-cdn.jtvnw.net/ttv-boxart/Path%20of%20Exile-285x380.jpg,https://www.amazon.com/Path-Exile-516-Points-Download/dp/B00I0A39UA/ref=sr_1_1?ie=UTF8&qid=1516867030&sr=8-1&keywords=Path+of+Exile,Aug 24@ 2017,Grinding Gear Games,Grinding Gear Games,Xbox One PC,Role-Playing Action-RPG,M,Path of Exile is an online Action-RPG set in an unforgiving world that boasts deep character and item customization@ endless replayability@ countless valuable treasures@ and a massive@ customizable end-game. The entire game is available for free. Its development is funded through optional community support in exchange for cosmetic character garb to enhance your immersive experience. To compete in Path of Exile's leaderboards@ all you'll need is your skill and not your wallet! There are no pay walls@ and no paying for power. Path of Exile is developed by Grinding Gear Games@ an independent studio from New Zealand that keeps gameplay fresh by providing frequent updates to the core content. Additionally@ they offer a new Challenge League every thirteen weeks. These are competitive leagues that offer a new variation on gameplay where players can compete for bragging rights and rewards. [Xbox.com]
The Legend of Zelda: A Link to the Past ,https://static-cdn.jtvnw.net/ttv-boxart/The%20Legend%20of%20Zelda:%20A%20Link%20to%20the%20Past-285x380.jpg,https://www.amazon.com/Legend-Zelda-Link-Past-Super-Nintendo/dp/B00002STXN/ref=sr_1_1?ie=UTF8&qid=1516867068&sr=8-1&keywords=The+Legend+of+Zelda%3A+A+Link+to+the+Past,Dec 3@ 2002,Capcom,Nintendo,Game Boy Advance,Action-Adventure Fantasy,E,Now you have a link to one of the greatest adventures in The Legend of Zelda series. The Legend of Zelda: A Link to the Past revives the classic SNES game on the Game Boy Advance and adds a new multiplayer mode. In a Link to the Past@ Link travels between the light world and the dark world@ conquering fierce monsters and uncovering Hyrule's deepest secrets along the way. Also included is Four Swords@ which lets you play with up to three other players@ slashing through dungeons and collecting rupees. Whether you choose solo or competitive play@ The Legend of Zelda will keep you occupied with its brain-bending puzzles and fun swashbuckling action.
ARK ,https://static-cdn.jtvnw.net/ttv-boxart/ARK-285x380.jpg,https://www.amazon.com/ARK-Survival-Evolved-Xbox-One/dp/B075MSL3BV/ref=sr_1_2?ie=UTF8&qid=1516867082&sr=8-2&keywords=ARK,Aug 29@ 2017,Studio Wildcard,Studio Wildcard,PlayStation 4 PC Xbox One,Action-Adventure Sandbox,T,Stranded on the shores of a mysterious island@ you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land@ and encounter other players to survive@ dominate@ and escape.
NieR Automata ,https://static-cdn.jtvnw.net/ttv-boxart/NieR%20Automata-285x380.jpg,https://www.amazon.com/NieR-Automata-Playstation-4/dp/B017S3OPZM/ref=sr_1_1?s=videogames&ie=UTF8&qid=1516867097&sr=1-1&keywords=NieR+Automata,Mar 7@ 2017,PlatinumGames,Square Enix,PlayStation 4 PC,Role-Playing Action-RPG,M,NieR Producer Yosuke Saito@ director Taro Yoko and composer Keiichi Okabe return@ teaming up with character designer Akihiko Yoshida and PlatinumGames to present the next entry in the saga: NieR: Automata.
NBA 2K18 ,https://static-cdn.jtvnw.net/ttv-boxart/NBA%202K18-285x380.jpg,https://www.amazon.com/Nba-2K18-Standard-Xbox-One/dp/B0722YH5VF/ref=sr_1_1?s=videogames&ie=UTF8&qid=1516867127&sr=1-1&keywords=NBA+2K18,Sep 15@ 2017,Visual Concepts,2K Games,PlayStation 4 iPhone/iPad PC PlayStation 3 Switch Xbox 360 Xbox One,Arcade Sports Team Basketball Sim,E10+,The highest rated* annual sports title of this console generation returns with NBA 2K18@ featuring unparalleled authenticity and improvements on the court.
Minecraft ,https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-285x380.jpg,https://www.amazon.com/Minecraft-PlayStation-4-Sony/dp/B0169NZNKI/,May 10@ 2009,Mojang AB,Mojang AB,PC 3DS PlayStation 3 PlayStation 4 PlayStation Vita Switch Wii U Xbox 360 Xbox One,Action-Adventure Adventure 3D Sandbox Fantasy Fantasy,E,"The game involves players creating and destroying various types of blocks in a three dimensional environment. The player takes an avatar that can destroy or create blocks, forming fantastic structures, creations and artwork across the various multiplayer servers in multiple game modes."
Dark Souls III ,https://static-cdn.jtvnw.net/ttv-boxart/Dark%20Souls%20III-285x380.jpg,https://www.amazon.com/Dark-Souls-III-Fire-Fades-PlayStation/dp/B06XTJMF4B/ref=sr_1_1?ie=UTF8&qid=1516867170&sr=8-1&keywords=Dark+Souls+III,Apr 12@ 2016,From Software,Bandai Namco Games,PlayStation 4 PC Xbox One,Action-RPG,M,Developed by Japanese developer FromSoftware@ DARK SOULS III is the latest chapter in the DARK SOULS series with its trademark sword and sorcery combat and rewarding Action-RPG gameplay. Players travel across a wide variety of locations in an interconnected world of unrelenting challenge and deep RPG gameplay as they search for a way to survive the coming apocalypse.
Resident Evil 4 ,https://static-cdn.jtvnw.net/ttv-boxart/Resident%20Evil%204-285x380.jpg,https://www.amazon.com/Resident-Evil-4-PlayStation-Standard/dp/B01CR05F5K/ref=sr_1_1?ie=UTF8&qid=1516867184&sr=8-1&keywords=Resident+Evil+4,Aug 30@ 2016,Capcom,Capcom,PlayStation 4 PC PlayStation 2 PlayStation 3 Xbox 360 Xbox One,Action-Adventure Survival,M,Resident Evil 4 marks a new chapter in the Resident Evil series. You'll rejoin Leon S. Kennedy six years after his first mission as a rookie cop from Resident Evil 2. Now a US agent@ Leon is on a top secret mission to investigate the disappearance of the president's daughter. As Leon@ you must make your way to a mysterious location in Europe@ where new enemies await. Take them down by using enhanced aim-and-shoot features and a new action button.
Dragon Ball FighterZ ,https://static-cdn.jtvnw.net/ttv-boxart/Dragon%20Ball%20FighterZ-285x380.jpg,https://www.amazon.com/Dragon-Ball-FighterZ-Day-One-PlayStation/dp/B07214P2HQ/ref=sr_1_1?s=videogames&ie=UTF8&qid=1516867242&sr=1-1&keywords=Dragon+Ball+FighterZ,Jan 26@ 2018,Arc System Works,Bandai Namco Games,PlayStation 4 PC Xbox One,Action Fighting 2D,T,After the success of the Xenoverse series@ its time to introduce a new classic 2D DRAGON BALL fighting game for this generations consoles. DRAGON BALL FighterZ is born from what makes the DRAGON BALL series so loved and famous: endless spectacular fights with its allpowerful fighters. Partnering with Arc System Works@ DRAGON BALL FighterZ maximizes high end Anime graphics and brings easy to learn but difficult to master fighting gameplay to audiences worldwide.
Super Mario Odyssey ,https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Odyssey-285x380.jpg,https://www.amazon.com/Super-Mario-Odyssey-Nintendo-Switch/dp/B01MY7GHKJ/,Oct 27@ 2017,Nintendo,Nintendo,Switch,Action Platformer 3D,T,New Evolution of Mario Sandbox-Style Gameplay. Mario embarks on a new journey through unknown worlds@ running and jumping through huge 3D worlds in the first sandbox-style Mario game since Super Mario 64 and Super Mario Sunshine. Set sail between expansive worlds aboard an airship@ and perform all-new actions@ such as throwing Mario's cap.
Rocket League ,https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-285x380.jpg,https://www.amazon.com/Rocket-League-Collectors-Xbox-One/dp/B01D9T0BAC/ref=sr_1_1?s=videogames&ie=UTF8&qid=1516867305&sr=1-1&keywords=Rocket+League,Nov 14@ 2017,Psyonix,Psyonix,Switch PC PlayStation 4 Xbox One,Sports Team Soccer Arcade,E10+,"Rocket League is a high-powered hybrid of arcade soccer and driving with rewarding physics-based gameplay. Take to the pitch for a fully-featured offline season mode@ multiple game types@ casual and competitive online matches@ and special ""Mutators"" that let you change the rules entirely. Express yourself with one of the deepest customization systems around and battle opponents on other platforms with cross-network play."
Sea of Thieves ,https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-285x380.jpg,https://www.amazon.com/Sea-Thieves-Xbox-One/dp/B00ZPT59YS/ref=sr_1_1?s=videogames&ie=UTF8&qid=1516866670&sr=1-1&keywords=Sea+of+Thieves,Mar 20@ 2018,Rare Ltd.,Microsoft Game Studios,Xbox One PC,Role-Playing Massively-Multiplayer,TBA,Be The Pirate You Want To Be - With musket loaded and grog in hand@ the freedom of the pirate life awaits. What will your legend be? An epic multiplayer adventure. Crew up and set sail on memorable voyages. Make and break your pirates' code on the Sea of Thieves. A treacherous shared world. Plot your course and set sail for hidden riches. Navigate the perils of a fantastical world and the danger of rival crews.
Destiny 2 ,https://static-cdn.jtvnw.net/ttv-boxart/Destiny%202-285x380.jpg,https://www.amazon.com/Destiny-2-PlayStation-4-Standard/dp/B06XPNX59W/ref=sr_1_1?s=videogames&ie=UTF8&qid=1516867325&sr=1-1&keywords=Destiny+2,Dec 5@ 2017,Bungie,Activision,PlayStation 4 PC Xbox One,Action-Shooter First-Person Arcade,E,Destiny 2 Expansion I: Curse of Osiris@ takes place after the conclusion of the Destiny 2 campaign where you are dispatched to Mercury on a quest to find Osiris@ the most powerful Warlock to have ever lived@ to discover the answers humanity needs to fight back against the Vex. Curse of Osiris adds a new chapter to the world of Destiny 2@ expanding the universe by adding an all-new cinematic story with new and returning characters@ a new destination to explore@ Mercury and its Infinite Forest@ a new social space to visit called the Lighthouse@ new missions@ new strikes@ new raid content@ new free roam activities@ a world quest to complete@ and more.
Madden NFL 18 ,https://static-cdn.jtvnw.net/ttv-boxart/Madden%20NFL%2018-285x380.jpg,https://www.amazon.com/Madden-NFL-18-PlayStation-4/dp/B071S1FT72/ref=sr_1_1?ie=UTF8&qid=1516867348&sr=8-1&keywords=Madden+NFL+18,Aug 22@ 2017,Electronic Arts,Electronic Arts,PlayStation 4 Xbox One,Sports Team Football Sim,E,Madden NFL 18 takes a significant visual leap with the power of the Frostbite engine. See stunning new stadium exteriors surrounded by vast cityscapes and watch the spectacle of NFL gameday come to life in the most photorealistic game to date. Play each matchup to your specifications by selecting from three new Play Styles or play the best real world match ups each week in Play Now Live! With the introduction of even more ways to play@ coupled with your modes@ Madden Ultimate Team and Franchise@ this is Madden like you've never seen before.
Bloodborne ,https://static-cdn.jtvnw.net/ttv-boxart/Bloodborne-285x380.jpg,https://www.amazon.com/Bloodborne-Game-Year-Sony-PlayStation-4/dp/B01MS1GOAX/ref=sr_1_1?ie=UTF8&qid=1516867367&sr=8-1&keywords=Bloodborne,Mar 24@ 2015,From Software,SCEA,PlayStation 4,Fantasy Role-Playing Action-Adventure General Action-RPG,E,Bloodborne is an Action-RPG in which you hunt for answers in the ancient city of Yharnam@ now cursed with a strange endemic illness spreading through the streets like a disease. Peril@ death and madness infest this dark world@ and you're tasked with uncovering its darkest secrets which will be necessary for you to survive. Armed with a singular arsenal of weaponry@ including guns and saw cleavers@ you'll require wits@ strategy and reflexes to dispatch the agile and intelligent enemies that guard the city's underbelly. You will utility holy chalices to access an array of vast underground ruins@ chock full of traps@ beasts@ and rewards@ to explore and conquer on your own or with other people.
Super Smash Bros. for Wii U ,https://static-cdn.jtvnw.net/ttv-boxart/Super%20Smash%20Bros.%20for%20Wii%20U-285x380.jpg,https://www.amazon.com/Super-Smash-Bros-Nintendo-Wii-U/dp/B00DD0B0BM,Nov 21@ 2014,Bandai Namco Games,Nintendo,Wii U 3DS,Action Fighting Fighting 3D 2D 2D 3D,M,Duke it out with your favorite Nintendo characters in Super Smash Bros. for the Nintendo Wii U.
Tom Clancy's The Division ,https://static-cdn.jtvnw.net/ttv-boxart/Tom%20Clancy%27s%20The%20Division-285x380.jpg,https://www.amazon.com/Tom-Clancys-Division-PlayStation-4/dp/B00DEL3IIS/ref=sr_1_1?ie=UTF8&qid=1516867399&sr=8-1&keywords=Tom+Clancy%27s+The+Division,Mar 8@ 2016,Massive Entertainment,Ubisoft,PlayStation 4 PC Xbox One,Action-Shooter Third-Person Arcade,E10+,Tom Clancy's The Division has players assume the role of Division agents in which they find themselves caught up in an epic conspiracy@ forced to combat not only the effects of a manmade virus@ but also the rising threat of those behind it.
The Sims 4 ,https://static-cdn.jtvnw.net/ttv-boxart/The%20Sims%204-285x380.jpg,https://www.amazon.com/Sims-4-PlayStation/dp/B0748XK1KM/ref=sr_1_1?s=videogames&ie=UTF8&qid=1517027605&sr=1-1&keywords=the+sims+4,Nov 17@ 2017,Maxis,Electronic Arts,PlayStation 4 PC Xbox One,Simulation Virtual Virtual Life,M,The Sims 4 is the highly anticipated life simulation game that lets you play with life like never before. Create new Sims with intelligence and emotion. Experience all new intuitive and fun creative tools to sculpt your Sims and build unique homes. Control the mind@ body@ and heart of your Sims@ and bring your stories to life.
Diablo II: Lord of Destruction ,https://static-cdn.jtvnw.net/ttv-boxart/Diablo%20II:%20Lord%20of%20Destruction-285x380.jpg,https://www.amazon.com/Diablo-II-Lord-Destruction-Expansion-Mac/dp/B000098XJQ/ref=sr_1_1?ie=UTF8&qid=1516867432&sr=8-1&keywords=Diablo+II%3A+Lord+of+Destruction,Jun 27@ 2001,Blizzard North,Blizzard Entertainment,PC,Action-RPG Action-RPG,T,"With a stash that's double the size of the ""Diablo II's,"" hundreds of new types of items and magical properties, two new powerful character classes -- the Assassin and the Druid -- , and an improved enemy A.I., this expansion pack should reinforce the staying power of an already legendary RPG."
Pokemon Ultra Sun/Ultra Moon ,https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20Ultra%20Sun/Ultra%20Moon-285x380.jpg,https://www.amazon.com/Pok_mon-Ultra-Sun-Nintendo-3DS/dp/B071WNTGFY/,Nov 17@ 2017,Nintendo,Game Freak,3DS,RPG,E,"A new light shines on the Alola region. Take on the role of a Pokemon Trainer and uncover new tales, and unravel the mystery behind the two forms reminiscent of the Legendary Pokemon. With new story additions and features this earns Pokemon Ultra Sun and Pokemon Ultra Moon the name ""Ultra!"" Another adventure is about to begin. New Pokemon forms have been discovered in the Aloha region in Pokemon Ultra Sun and Pokemon Ultra Moon! These forms are reminiscent of the Legendary Pokemon Solgaleo, Lunala, and Necrozma, first revealed in Pokemon Sun and Pokemon Moon. Head out on an epic journey as you solve the mystery behind these fascinating Pokemon! In this expanded adventure, get ready to explore more of the Alola region, catch more amazing Pokemon, and battle more formidable foes in Pokemon Ultra Sun and Pokemon Ultra Moon!"
FINAL FANTASY XIV Online ,https://static-cdn.jtvnw.net/ttv-boxart/FINAL%20FANTASY%20XIV%20Online-285x380.jpg,https://www.amazon.com/Dissidia-Final-Fantasy-Steelbook-Brawler-PlayStation/dp/B074ZQ9F4S/ref=sr_1_1_sspa?ie=UTF8&qid=1516867472&sr=8-1-spons&keywords=FINAL+FANTASY+XIV+Online&psc=1,Apr 14@ 2014,Square Enix,Square Enix,PlayStation 4 PC PlayStation 3,Fantasy Role-Playing Massively-Multiplayer Online Massively-Multiplayer Fantasy,T,Take part in an ever-changing FINAL FANTASY as you adventure and explore with friends from around the world. Experience all the hallmarks of the franchise - airships@ chocobos@ moogles@ and more.
